epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,79745.6,0.50399,0.34517,0.97027,0.98599,0.97451,0.99118,0.93855,0.3498,0.17456,0.84192,0.000599633,0.000599633,0.000599633
43,81642.2,0.5014,0.34088,0.9635,0.9859,0.97347,0.99091,0.93855,0.34936,0.17511,0.84085,0.000583206,0.000583206,0.000583206
44,83542,0.49282,0.33635,0.96616,0.9858,0.9731,0.99088,0.93861,0.34853,0.17535,0.84015,0.000566687,0.000566687,0.000566687
45,85447.9,0.49335,0.33575,0.97087,0.9863,0.97256,0.99077,0.93884,0.34765,0.17484,0.84022,0.000550093,0.000550093,0.000550093
46,87354.1,0.49077,0.33325,0.96759,0.98546,0.97353,0.99074,0.9391,0.34678,0.17444,0.8399,0.000533443,0.000533443,0.000533443
47,89251.6,0.4867,0.33018,0.96624,0.985,0.97335,0.9906,0.93883,0.34619,0.17483,0.83985,0.000516756,0.000516756,0.000516756
48,91146.8,0.48329,0.32771,0.96603,0.98547,0.97293,0.9905,0.93929,0.34532,0.17473,0.83971,0.00050005,0.00050005,0.00050005
49,93042.1,0.48157,0.32584,0.95748,0.98503,0.97296,0.99033,0.93939,0.3449,0.17486,0.83916,0.000483344,0.000483344,0.000483344
50,94936.6,0.47647,0.32476,0.95573,0.98556,0.97221,0.99022,0.93963,0.34438,0.17496,0.83856,0.000466657,0.000466657,0.000466657
51,96831.1,0.47508,0.32139,0.95721,0.98555,0.97273,0.99023,0.93999,0.34347,0.17424,0.83791,0.000450007,0.000450007,0.000450007
52,98728.9,0.47098,0.31888,0.96006,0.98675,0.9722,0.99034,0.94026,0.34287,0.17338,0.83803,0.000433413,0.000433413,0.000433413
53,100628,0.46831,0.31578,0.95728,0.98648,0.97303,0.99044,0.94065,0.34209,0.17258,0.83775,0.000416894,0.000416894,0.000416894
54,102523,0.46295,0.30998,0.95055,0.98584,0.97369,0.99057,0.94115,0.34169,0.17231,0.83729,0.000400467,0.000400467,0.000400467
55,104423,0.46153,0.31023,0.95134,0.98518,0.97389,0.99049,0.94141,0.34125,0.17228,0.83693,0.000384152,0.000384152,0.000384152
56,106320,0.4593,0.30846,0.94773,0.98415,0.97477,0.99048,0.94158,0.34094,0.17206,0.83639,0.000367966,0.000367966,0.000367966
57,108225,0.45695,0.30688,0.94647,0.98456,0.97421,0.99046,0.94169,0.34067,0.17179,0.83617,0.000351927,0.000351927,0.000351927
58,110119,0.4533,0.30154,0.94586,0.98464,0.97458,0.9905,0.94192,0.34019,0.17148,0.83576,0.000336054,0.000336054,0.000336054
59,112006,0.44664,0.29999,0.94435,0.98573,0.97274,0.99043,0.9423,0.33976,0.17189,0.83522,0.000320364,0.000320364,0.000320364
60,113893,0.44273,0.29507,0.94257,0.98572,0.97281,0.99033,0.9424,0.33931,0.17137,0.83509,0.000304875,0.000304875,0.000304875
61,115784,0.44084,0.29509,0.93887,0.9833,0.97543,0.99034,0.94256,0.3388,0.17077,0.83463,0.000289604,0.000289604,0.000289604
62,117670,0.43836,0.2946,0.93833,0.98339,0.97579,0.99035,0.94271,0.33857,0.17055,0.83412,0.000274567,0.000274567,0.000274567
63,119555,0.43699,0.29368,0.93815,0.98361,0.97505,0.99034,0.94274,0.33827,0.17039,0.83391,0.000259783,0.000259783,0.000259783
64,121440,0.43023,0.28679,0.93494,0.98492,0.9738,0.99035,0.94302,0.33777,0.17027,0.83367,0.000245267,0.000245267,0.000245267
65,123331,0.42866,0.28706,0.93543,0.98465,0.97374,0.99035,0.94298,0.33755,0.17046,0.83355,0.000231036,0.000231036,0.000231036
66,125218,0.42501,0.28405,0.9346,0.98497,0.97369,0.99035,0.94325,0.33731,0.17034,0.83365,0.000217105,0.000217105,0.000217105
67,127106,0.42356,0.28183,0.93562,0.98419,0.97423,0.99036,0.94314,0.33702,0.17064,0.83392,0.00020349,0.00020349,0.00020349
68,128995,0.41963,0.28046,0.93471,0.98321,0.97471,0.99028,0.94315,0.33681,0.17106,0.83425,0.000190206,0.000190206,0.000190206
69,130884,0.41683,0.27817,0.93183,0.98331,0.97434,0.99016,0.94335,0.33684,0.17129,0.83462,0.000177268,0.000177268,0.000177268
70,132773,0.41433,0.27698,0.92894,0.98405,0.97295,0.9901,0.94356,0.33679,0.17172,0.83474,0.000164691,0.000164691,0.000164691
